Description,Item,Unit,Cost
MECHA EZETA COLA CONICA 22.75 MM,450800825,PZ,56.05
MACHO URANGA A/RAPIDO M 10 x 1.00,450409342,PZ,56.24
PITON C/TOPE ABIERTO BCE 17-40 x200,424560457,PZ,56.34
MECHA EZETA CILINDRICA A/R 12.75 MM,451301842,PZ,56.46
MECHA EZETA CILINDRICA A/R 12.50 MM,451301843,PZ,56.46
PITON P/MAD SOLDADO  24 -  90 x 25,424582464,CJ,56.67
PICO GHERARDI PALA-HACHA  75 MM,450810862,PZ,56.79
BANDA AA TELA  75x610 O/A MAD G.100,450813601,PZ,56.93
FLEX DUKE PLAST CONEX MET 1/2 x 50,450814752,PZ,57.16
MECHA EZETA CILIND TITANIO 11.75 MM,424580780,RL,57.2
CLAVO C/CHATA  6-20,424560960,PZ,57.51
MACHO TAP A/LAMINADO NC    6 x 32,424594296,PZ,57.52
MACHO TAP A/LAMINADO NC    8 x 32,424594297,PZ,57.79
MACHO URANGA A/RAPIDO M 20 x 1.00,450813712,PZ,57.89
MECHA EZETA JUEGO A/R x 6 UNID,424580274,PZ,58.24
TENDEDERO PIE PLEG 7 V ALAMB SIMPLE,450810865,PZ,58.24
BANDA AA TELA 100x620 O/A MAD G.120,424595625,PZ,58.38
MECHA EZETA CILINDRICA A/R 18.50 MM,424589524,PZ,58.69
MACHO URANGA A/RAPIDO BSP  5/8 x 14,424594374,PZ,58.85
MACHO URANGA A/ALEADO M 20 x 1.50,450812695,PZ,58.9
LIJA AA GOLD 24K  G.100,424582032,PZ,58.92
PITON P/MAD SOLDADO  23 -  90 x 50,450801682,PZ,58.98
CABLE ACERO  6.0 MM 6 x  7+1,450814378,PZ,58.99
GRAMPA P/CORREA N.35,450813227,PZ,59.18
TELA AA FENOB G. 36   120 x 45000,450814480,LA,59.19
MECHA EZETA WIDIA BOSCH 12 x 350 MM,424599017,PZ,59.28
MECHA EZETA WIDIA BOSCH 12 x 460 MM,424599660,PZ,59.28
MECHA EZETA COLA CONICA 30.50 MM,450812508,PZ,59.28
CABLE ACERO 22.0 MM 6 x 19+1,424580971,PZ,59.95
LIJA AA COLORADO RUBI G.180 FIN,450800252,PZ,61.14
MECHA EZETA COLA CONICA  8.25 MM,450802248,PZ,61.2
MAQ ZONTA RTO-REGLA CENTIMETRADA,450813761,PZ,61.29
CORTINA P/BAÃ‘O COMPLETA VERDE,450813035,PZ,61.36
BROCA MANUAL UR34 3/4,450814192,PZ,61.36
PITON C/TOPE ABIERTO BCE 21-60 x 50,424560459,PZ,61.52
GRAMPA PRENSA CABLE GALV   5/16,424560580,PZ,61.62
GRAMPA P/CORREA N.15,450821758,PZ,62
TIJERA GHERARDI CESPED 3 POSICIONES,450805374,PZ,62.11
TABLA PLANCHAR RTO-FUNDA P/PREMIUM,424573143,PZ,62.4
CUCHARA GHERARDI FORJ N.10,424595769,PZ,62.5
REGADERA PLAST 10 LT,413052483,PZ,62.68
BANDA AA TELA  75x533 O/A MAD G.100,450803941,PZ,62.83
HERRADURA ACANALADA PESADA 1,450803181,PZ,62.85
MECHA EZETA WIDIA BOSCH 10 x 460 MM,424572714,PZ,62.97
MECHA EZETA DE CENTRAR 4.00 MM,424572715,PZ,63.09
TOR P/MECHA C/HEXAG  C/A 14 x 4,450814178,PZ,63.28
MACHO URANGA A/ALEADO NC 1     x  8,450800813,PZ,63.43
MACHO URANGA A/ALEADO M  8 x 1.00,450814474,PZ,63.52
ALAMB REC NEGRO N.14 x 1 KG,450813073,PZ,63.65
MAQ P/RALLAR RTO-TACO,464502377,PZ,63.86
ABRAZ AMERICANA 3005    45 -  60 MM,450814124,PZ,63.88
HILO ALGODON CRUDO 10 x  50 GR,424589974,PZ,63.96
CLAVO C/CHATA  9-20,450813404,PZ,63.97
RIEL DOBLE BLANCO 1.00 MT,424573144,PZ,64.36
PALA GHERARDI FORJ 1/2 L ANCHA  C/C,450813126,PZ,64.43
GRILLETE FORJ GALV   1/4  x   5/16,424595710,PZ,64.47
MECHA EZETA COLA CONICA 35.00 MM,424573145,PZ,64.48
TIJERA RTO-CUCHILLA HUALA 36,424561133,PZ,64.83
AZADA GHERARDI MENDOCINA 2      LBS,424596136,PZ,65
HERRADURA ACANALADA PESADA C/CLIP 6,450803182,PZ,65
TIJERA GHERARDI CORTA PERNOS 24,450813416,PZ,65.32
CLAVO CAJ PULIDO 12- 50 x 30 KG,450802917,PZ,65.39
PALANQ  LAMINADA 1045  76.20 MM,450811410,PZ,65.47
CORTINA P/BAÃ‘O COMPLETA ROJA,450802249,PZ,65.72
PALANQ  LAMINADA 1010 101.60 MM,450803363,PZ,65.74
TELA M/SOMBRA 100 MT NEGRO      80%,424580007,PQ,66.66
FLEX DUKE EXTENSIBLE 40 x 40-50 MM,424595685,PZ,66.75
TENAZA GHERARDI AZULEJISTA N.6,424595686,PZ,66.75
PINZA GHERARDI PICO LORO D/CREM 250,424595687,PZ,66.75
CLAVO P/PARIS FRACC  3 1/2,450804597,PZ,66.85
MAZA GHERARDI FORJADA 1.00 KG,424595616,PZ,67.03
MACHO TAP A/LAMINADO NF  5/32 x 36,450813904,PZ,67.24
GUANTE LATEX P/LARGO CHICO,424593605,PZ,67.28
LIJA AA FENOB G. 36   120 x 45000,450802681,PZ,67.43
CLAVO C/PIZARRA 16-50,424599012,PZ,67.47
CINTA EVEL 102 BOX          2 MT,422501491,PZ,67.6
MECHA EZETA COLA CONICA 31.75 MM,450804624,PZ,67.78
LLANA VOSS 2000 PLASTICA 12 x 12,450804401,PZ,67.94
CLAVO ESCUADRA PUL 21 -  70 x 100,450813310,PZ,68
RIEGO ROCIADOR GIRATORIO ACOPLE RAP,424560997,PZ,68.03
MARTILLO GHERARDI BOLITA 200 GR,424595598,PZ,68.26
MECHA EZETA COLA CONICA  7.25 MM,450813630,PZ,68.52
CADENA P/PERRO N. 8 LARGO 1.70 MT,424566919,PZ,68.64
MENSULA DOBLE NEGRA  170 MM,450806076,PZ,68.72
CLAVO P/PARIS FRACC  2,450810954,PZ,68.89
CADENA NUDO N.15,422501414,PZ,69.14
PITON HO PUL ESCUAD  25 - 110 x  50,424564741,PZ,69.24
LIJA AA GOLD 24K  G.500,424595650,PZ,69.48
GUANTE LATEX P/CORTO  9,450801758,PZ,69.67
MECHA EZETA COLA CONICA 41.25 MM,450805639,PZ,69.77
SELLADOR S-28 SILIC TRANSP  50 GR,450810720,PZ,69.9
GANCHO J P/GALPON COMP 1/4 x  50 MM,450817508,PZ,70
LEBRILLO CHAPA GALV REF N.20  35 LT,450803662,PZ,70.47
AZADA GHERARDI MENDOCINA 2 1/2  LBS,424595574,PZ,70.72
TOR P/MECHA C/FIJAD-PHIL 10 x   1/2,450813364,PZ,70.72
CAÃ‘O CRISTAL 16 - 20  x  25 MT,450814165,PZ,70.72
VIRUTA ACERO GRUESA  x 330 GR,450814488,PZ,70.72
GRAMPA P/CORREA N.27,424580028,PZ,71.18
BANDA AA TELA  64x410 O/A MAD G. 36,424595633,PZ,71.51
MECHA EZETA DOBLE PUNTA 2.50 MM,424560613,PZ,71.61
CORREA SECCION O N.21,450813955,PZ,71.94
BISAGRA T 3 MODELO 520,450906149,PZ,72
TENDEDERO EXTENS 9 V  60 CM,424589913,PZ,72.8
CLAVO ACERO ESC GALV 4.0 - 80 x 50,450802129,PZ,72.88
MACHO URANGA A/RAPIDO NF  9/16 x 18,424593687,PZ,73.39
GANCHO ESTIRA TEJ GALV 3/8  x  9,450901049,PZ,73.46
COLLAR SUELA N.16 LISO - 37 CM,424560534,PZ,73.55
RIEGO REGADOR 5V ACOPLE RAPIDO,424566917,PZ,74.36
GANCHO P/CAÃ‘O ESTRUCT 35 x  90,424583416,CJ,74.74
CORREA SECCION A N.33,450804301,PZ,74.88
CLAVO PUNTA PARIS 5      x 20 KG,450817102,PZ,75.07
ADAP POZIDRIVE P/AUTOPERF 1 x 25 MM,450811407,PZ,75.14
RIEGO REGADOR 1V ACOPLE RAPIDO,424565244,PZ,75.28
TENDEDERO PIE PLEG 9 V ALAMB SIMPLE,450814123,PZ,75.37
ARANDELA FICHA BRONCEADA 10.0 MM,450906091,PZ,75.43
SOGA ELASTICA 5 MM,450813498,PZ,75.46
TENSOR ACERO GALV IMP  1/4,450800228,PZ,75.56
FAROL A GAS P/MICROGARRAFA,450803178,PZ,75.65
RIEL DOBLE ALUM   2.00 MT,450818724,PZ,75.92
MECHA NEIKE WIDIA LARGA 400 12 MM,424573105,PZ,75.93
GANCHO P/CAÃ‘O ESTRUCT 30 x  90,424582659,BK,76.51
MECHA EZETA COLA CONICA 34.00 MM,450800653,PZ,76.54
HERRADURA ACANALADA PESADA C/CLIP 3,450810917,PZ,76.65
MARTILLO GHERARDI BOLITA 300 GR,424595600,PZ,77.06
MAZA GHERARDI FORJADA 1.50 KG,424595617,PZ,77.06
RIEGO KIT MANGUERA 1/2 x 10 MTS,424575307,PZ,77.17
MECHA EZETA COLA CONICA  9.00 MM,450812983,PZ,77.38
LIJA AA COLORADO RUBI G.120 MED,450814054,PZ,78
MECHA EZETA WIDIA BOSCH 10 x 210 MM,424560349,PZ,78.89
PINZA CORTA CERAMICO C/LAPIZ WIDIA,424590182,PZ,79.04
PITON S/TOPE CERRADO P/TACO 10 x 25,450814592,PZ,79.04
POLIET SIXCOM 3 x 100 x 100 NEGRO,424581250,PZ,79.05
LIMPIAMANOS ALLEMANDI PASTA 36x400G,451305370,PZ,79.61
MECHA NEIKE WIDIA LARGA 400  8 MM,424572691,PZ,79.83
SELLADOR SN-4 SILIC NEUTRO 300 GR,450804612,PZ,79.9
CUCHARIN ROBLE P/ALBAÃ‘IL N. 5,450811903,PZ,79.96
CORREA SECCION A N.41,450813582,PZ,80.05
MECHA EZETA COLA CONICA 30.25 MM,450800654,PZ,80.08
SOPAPA ACERO DE BAÃ‘ERA,424593694,PZ,80.48
TOR P/MECHA C/HEXAG  C/A 14 x 3,450814179,PZ,80.6
CEPILLO ACERO CIRCULAR  8x1,450813407,PZ,80.69
MACHO URANGA A/ALEADO M 12 x 1.50,450814279,RL,81.12
BISAGRA REVERSIBLE BCEADA  2x 5x2.0,450905663,PZ,81.54
ABRAZ AMERICANA 3001    16 -  22 MM,450813731,PZ,81.72
CAÃ‘O CRISTAL 15 - 19  x  25 MT,450805147,PZ,81.99
HERRADURA ACANALADA PESADA 7,450802760,PZ,82.3
LIJA AA COLORADO RUBI G.100 MED,450814109,PZ,82.35
PERCHA PLAST AUTOADHESIVA CHICA,413052437,PZ,82.47
TOR P/MECHA C/FIJAD-PHIL  8 x   1/2,450810660,PZ,83.19
MECHA EZETA COLA CONICA 33.00 MM,450812174,PZ,83.76
CORTAFRIO GHERARDI CHATO 12-25 250,450804104,PZ,84.06
MECHA EZETA COLA CONICA 25.75 MM,450803306,PZ,84.24
CAÃ‘O CRISTAL  4 -  7  x  50 MT,450817264,PZ,84.38
MECHA EZETA COLA CONICA 26.00 MM,450814122,PZ,84.69
MECHA EZETA WIDIA BOSCH 12 x 160 MM,424561963,PZ,84.98
BROCA MANUAL - MANGO BTU58 5/8,450814193,PZ,85.28
BANDA AA TELA  64x410 O/A MAD G. 40,424595634,PZ,85.89
MECHA EZETA COLA CONICA 29.50 MM,450813403,PZ,86.11
MAZA GHERARDI FORJADA 2.00 KG,424595618,PZ,86.16
MAQ ZONTA CORTA CERAMICO 42 CM C/T,450813468,PZ,86.32
CORTINA P/BAÃ‘O RTO-PROTECT ROSA,450812223,PZ,86.36
GANCHO P/CAÃ‘O ESTRUCT 30 x 120,424582558,PQ,86.65
CORREA SECCION A N.60,450810747,PZ,86.83
SEMILLA REFORZADA N.10,450818300,PZ,87.59
MECHA EZETA COLA CONICA 25.00 MM,450812218,PZ,87.88
PALA GHERARDI POCERA ESCOCESA C/HIE,450814195,PZ,87.96
ESCARDILLO CORAZON Y PALA 78 MM,45091155,PZ,88
MECHA EZETA WIDIA BOSCH 16 x 210 MM,450804896,PZ,88.25
BANDA AA TELA 100x610 O/A MAD G. 80,424564373,PZ,88.36
CORREA SECCION A N.32,450805462,PZ,88.4
BROCA MANUAL UR58 5/8,450817293,PZ,88.4
TEJ ROMBO ACINDAR 100-50-14-10 ML,450409396,PZ,88.54
CAÃ‘O RIEGO GREEN   1/2 x 25 MT,451305637,PZ,88.54
GANCHO P/CAÃ‘O ESTRUCT 35 x 120,424582617,BK,88.9
FLEX SIFOLIMP PVC REG 1/2 x 40 CM,424593705,PZ,88.96
PICO GHERARDI PTA-PALA  75 MM C/CAB,450812676,PZ,89.18
PITON C/TOPE ABIERTO BCE 16-35 x200,424564428,PZ,89.26
MECHA BIASSONI P T E  7/16  CORTA,450813751,PZ,89.39
MACHO URANGA A/ALEADO M 18 x 1.50,450812926,LA,89.44
CEPILLO ALAMBRE ACERO  C/MANGO 4x19,450818571,PZ,89.44
TEJ ROMBO ACINDAR 180-63-14-10 ML,451305258,PZ,89.68
CARBURO DE CALCIO x 115 KG,413050523,PZ,90.19
VIRUTA ACERO FINA    x 330 GR,450813632,PZ,90.27
GUARDACABO GALV   5/16,450817291,PZ,90.52
CAJA METALICA F3 20x20x48 2 FUELLES,451305638,PZ,90.82
COLLAR SUELA N.14 LISO - 33 CM,424560714,PZ,91.5
CABO P/HACHA   0.90 MT  VIZCAINA,450813295,PZ,91.6
MARTILLO EL ROBLE GALPONERO,450817456,PZ,91.98
MECHA EZETA WIDIA BOSCH  6 x 160 MM,424560095,PZ,92.21
TEJ ROMBO ACINDAR 200-50-14-10 ML,451305268,PZ,93.29
PITON HO PUL ESCUAD  23 -  90 x 100,422500123,PZ,93.42
CAÃ‘O CRISTAL 12 - 15  x  50 MT,450817310,PZ,94
TEJ ROMBO ACINDAR 200-63-14-10 ML,451305269,PZ,94.05
CINTA EVEL 210 PROFESIONAL 10 MT,450817393,PZ,94.06
MACHO URANGA A/RAPIDO NF  7/8  x 14,424593690,PZ,95.19
DISCO AA NO PAST 6 PERF 154  G.240,450804787,PZ,95.22
CADENA NUDO N.10,450812677,MT,95.39
GRINFA EL ROBLE ACERO FORJADO N.14,424595599,PZ,96.46
TEJ ROMBO ACINDAR 125-50-14-10 ML,450409397,PZ,96.71
MACHO URANGA A/RAPIDO NC  7/8  x  9,451305270,PZ,96.71
CAJA METALICA F2 20x20x42 2 FUELLES,451305639,PZ,96.71
MECHA EZETA COLA CONICA 19.00 MM,450801901,PZ,96.72
MECHA EZETA DE CENTRAR 3.15 MM,424580082,PZ,96.76
CORREA SECCION A N.57,464502393,PZ,96.87
ELECTRODO ESAB P/AZUL 4.00 MM,450819821,PZ,97.07
REGADERA CHAPA GALV N.2  10 LT,413053302,PZ,97.16
BIS FICHA P/SOLD REF  60-33-8 x 2.5,450812734,PZ,97.24
CORREA SECCION A N.44,450802674,PZ,97.26
MACHO URANGA A/ALEADO NF  7/8  x 14,450803307,PZ,97.76
MECHA EZETA CILINDRICA A/R  9.75 MM,450819690,PZ,98
BANDA AA TELA  50x478 O/A MET G.120,424595676,PZ,98.79
MACHO URANGA A/RAPIDO M 18 x 1.00,450810812,PZ,99.36
TOR P/MECHA C/FIJAD-PHIL  6 x 1,450800906,PZ,100.58
TENDEDERO ABANICO LATERAL,450813315,LA,100.69
PITON C/TOPE ESCUAD  BCE 17-40 x200,450805857,PZ,100.71
MECHA EZETA COLA CONICA 16.50 MM,450801403,PZ,101.52
MECHA EZETA WIDIA LARGA 400 10 MM,424573107,PZ,101.92
MECHA EZETA COLA CONICA 45.50 MM,450818805,PZ,101.92
TEJ ROMBO ACINDAR 200-76-14-10 ML,451305271,PZ,102.22
MECHA EZETA COLA CONICA 12.50 MM,450804510,PZ,102.66
MECHA EZETA CILINDRICA A/R 16.00 MM,450900619,PZ,102.96
MARTILLO GHERARDI BOLITA 400 GR,424595601,PZ,102.99
MECHA BIASSONI P T E  5/16  CORTA,450814793,PZ,103.17
BROCA MANUAL - MANGO BTU56 5/16,450817295,PZ,103.48
PALA GHERARDI FORJ CORAZON      C/L,450814194,PZ,103.5
PITON HO PUL ESCUAD  27 - 120 x  25,450817338,PZ,103.8
GRILLETE FORJ GALV   7/8  x 1,450814543,PZ,103.92
GRINFA EL ROBLE ACERO FORJADO N.25,424595613,PZ,104.39
TEJ ROMBO ACINDAR 125-63-14-10 ML,450409398,PZ,104.5
LIMPIAMANOS ALLEMANDI PASTA 12x1 KG,451305371,PZ,104.5
MACHO URANGA A/RAPIDO M 14 x 1.25,450814823,PZ,104.51
PITON HO PUL ESCUAD  18 -  40 x 100,424562026,PZ,104.81
TABLA PLANCHAR CLASICA COMPLETA,450804021,PZ,104.89
MACHO URANGA A/RAPIDO NF  3/4  x 16,424593689,PZ,105.03
GRAMPA PRENSA CABLE GALV   1/2,450801204,PZ,105.88
GRAMPA PRENSA CABLE GALV   9/16,450801205,PZ,105.88
ABRAZ AMERICANA 3001/5  20 -  28 MM,450813092,PZ,106.08
MACHO URANGA A/ALEADO NPT 1/2 x 14,422000814,PZ,106.84
MECHA EZETA COLA CONICA 23.25 MM,450800652,PZ,107.07
PINZA GHERARDI PICO LORO D/CREM 300,424595636,PZ,108.05
MECHA EZETA COLA CONICA 38.25 MM,450803751,PZ,108.99
MACHO URANGA A/ALEADO NF  3/8  x 24,424585637,PZ,109.2
MECHA EZETA COLA CONICA 40.50 MM,450805375,PZ,109.6
GANCHO ESTIRA TEJ GALV 5/16 x  6,424594375,PZ,110.75
ACOPLE DUKE COMPRESION PROF 1/2,424595637,PZ,110.93
MECHA EZETA WIDIA LARGA 400  6 MM,424582608,BK,111.22
GANCHO ESTIRA TEJ GALV 5/16 x 11,450813961,PZ,111.52
MECHA EZETA DOBLE PUNTA 3.30 MM,424581282,PZ,112.32
GRINFA EL ROBLE ACERO FORJADO N.28,424595614,PZ,112.33
MECHA EZETA WIDIA BOSCH  6 x 110 MM,424560004,PZ,112.73
REGATON REGULABLE 3/8  BASE GRANDE,424572059,PZ,113.36
BARRAL 0.40MT S/LLAVE GARRAFA 10 KG,450803266,PZ,113.36
REGADERA PLAST  5 LT RTO-FLOR,450819662,PZ,113.98
GRILLETE FORJ GALV 1 1/8  x 1 1/4,450812483,PZ,114.35
MACHO URANGA A/ALEADO M  8 x 0.75,450817315,PZ,114.4
MECHA EZETA COLA CONICA 45.25 MM,450818804,PZ,114.4
MACHO URANGA A/ALEADO NPT 3/8 x 18,422000824,PZ,114.92
CABO P/LIMA PLANA     250 A 300 MM,424562773,PZ,114.93
MECHA EZETA MULTIMATERIAL  5 MM,424580029,PZ,116.11
PITON HO PUL ESCUAD  15 -  25 x 300,450817149,BA,116.48
BANDA AA TELA 100x620 O/A MAD G.100,424595638,PZ,117.2
BANDA AA TELA  50x478 O/A MET G.150,424595677,PZ,117.23
TOR P/AGUJ C/TROMP P/MAD  6 x 1 1/2,450409093,PZ,117.502761383
TOR P/AGUJ C/TROMP P/MAD  6 x 1 5/8,450409094,PZ,117.502761383
MECHA EZETA COLA CONICA 47.00 MM,450905373,PZ,118.75
TEJ ROMBO ACINDAR 180-76-14-10 ML,451305261,PZ,118.94
TOR P/MECHA C/HEXAG  C/A 14 x 2 1/2,390000042,PZ,119
GRILLETE FORJ GALV 1 1/2  x 1 5/8,450805367,PZ,119.28
MECHA EZETA CILINDRICA A/R  3.25 MM,451305200,PZ,120.78
CABO P/LIMA PLANA     300 A 350 MM,424560310,PZ,121.07
GRILLETE FORJ GALV 1 1/4  x 1 3/8,450812428,PZ,121.21
FLEX SIFOLIMP PVC REG 1/2 x 50 CM,424594303,PZ,122
MECHA EZETA COLA CONICA 14.50 MM,450810584,PZ,122.43
LIJA AA GOLD 24K  G.220,424595682,PZ,122.62
CLAVO ESCUADRA PUL 24 -  90,424589741,PZ,123.1
CORREA SECCION A N.45,450812960,PZ,124.01
TOR P/AGUJ C/TROMP P/MAD  6 x 2,450409095,PZ,124.069092166
CLAVO CAJ PULIDO FRACC  12- 50,424574882,PZ,124.56
MECHA EZETA CILIND TITANIO 11.25 MM,424581134,PZ,124.56
CADENA ONETO CALIBRADA N.55,450800698,PZ,124.56
PALANQ  LAMINADA 1010  63.50 MM,450803832,PZ,124.8
MECHA EZETA COLA CONICA 35.75 MM,450812435,PZ,124.8
SOPAPA ACERO CON RECEPTACULO BAÃ‘ERA,424593695,PZ,124.83
TEJ ROMBO ACINDAR 200-63-12-10 ML,451305272,PZ,124.83
BROCA MANUAL UR56 5/16,450800815,PZ,126.07
MECHA EZETA COLA CONICA 24.25 MM,450803571,PZ,126.67
RIEL DOBLE BLANCO 2.00 MT,450812068,PZ,127.38
MECHA BIASSONI P T E  3/8   LARGA,450805292,PZ,129.27
CAÃ‘O CRISTAL 14 - 18  x  50 MT,450805150,PZ,130
AZADA GHERARDI CARPIR N.1,424595578,PZ,130.32
MECHA EZETA COLA CONICA 17.50 MM,450814696,PZ,131.66
MAQ HORMIGONERA C/MOTOR,450814578,PZ,131.82
CAJA METALICA B2 15x20x43 1 BANDEJA,450408943,PZ,131.86
HORM ALLEMANDI DUAL TARRO  24x250GR,451305364,PZ,131.86
CAJA METALICA B1 15x20x32 1 BANDEJA,451305643,PZ,131.86
CLAVO ESCUADRA PUL 22 -  60,450813560,PZ,132.15
CORREA SECCION A N.42,450810746,PZ,133.54
MECHA EZETA CILIND TITANIO 10.25 MM,424592236,PZ,133.78
CUCHARA ROBLE P/ALBAÃ‘IL N. 8 MOCHA,424572630,PZ,134.46
CLAVO ESPIRALADO 6      x 20 KG,450816379,PZ,134.59
MACHO URANGA A/RAPIDO M 18 x 2.00,450813222,PZ,134.95
GRAMPA P/CORREA N.20,450925787,PZ,135
PITON S/TOPE ESCUAD  P/TACO  6 x 50,413050661,PZ,135.76
MACHO URANGA A/RAPIDO NC  5/8  x 11,451305277,PZ,136.42
CANDADO 606 40MM JGO 12 PZS COMB,451305632,PZ,136.42
MECHA EZETA MULTIMATERIAL  8 MM,424580972,PZ,137.34
TIJERA GHERARDI PODAR 240 MM,424595584,PZ,137.55
PITON S/TOPE CERRADO P/TACO  5 x 50,450802622,PZ,137.89
MECHA EZETA DE CENTRAR 1.25 MM,424587996,RL,137.97
MAQ ZONTA RTO-PALANCA 42,450818697,PZ,138
CAJA METALICA B3 15x20x49 1 BANDEJA,450409286,PZ,138.89
MACHO URANGA A/RAPIDO NC  3/4  x 10,451305294,PZ,138.89
MECHA EZETA CILINDRICA A/R  0.75 MM,450906029,PZ,139
POLIET SIXCOM 2 x 200 x  50 NEGRO,450813579,PZ,139.61
ABRAZ AMERICANA 3000    14 -  20 MM,450811408,PZ,139.62
GRAMPA PRENSA CABLE GALV   1/4,450925788,PZ,139.73
ADHESIVO DUKE P/PVC 1000 CM3,450826249,PZ,140
ADHESIVO DUKE P/PVC  250 CM3,450826250,PZ,140
ADHESIVO DUKE P/PVC  500 CM3,450826253,PZ,140
FAROL RTO-BOQUILLA 500 W,450813763,PZ,140.08
GRILLETE FORJ GALV 1      x 1 1/8,450803200,PZ,140.25
MACHO URANGA A/ALEADO NC  7/8  x  9,450805984,PZ,141.12
GANCHO J P/GALPON COMP 1/4 x  90 MM,450818473,PZ,142.29
TIJERA GHERARDI PODAR RTO-RESORTE,424595585,PZ,142.7
BALDE CHAPA P/ALBAÃ‘IL 1 PZA,450300022,PQ,143
GANCHO P/CAÃ‘O ESTRUCT 40 x  90,424561234,PZ,143.41
TENSOR ACERO GALV IMP  1/2,450813660,PZ,143.45
PITON C/TOPE ESCUAD  BCE 16-35 x200,450814885,PZ,143.47
REGADERA CHAPA GALV N.4  14 LT,424572629,PZ,143.84
CADENA P/PERRO N. 9 LARGO 2.20 MT,424586192,BK,144.03
TOR P/AGUJ C/TROMP P/MAD  6 x   5/8,450409089,PZ,144.113680873
TOR P/AGUJ C/TROMP P/MAD  6 x 1,450409091,PZ,144.113680873
TOR P/AGUJ C/TROMP P/MAD  6 x 1 1/4,450409092,PZ,144.113680873
CEPILLO MANUAL CURVO MANGO PLASTICO,450817108,PZ,144.6
TIJERA RTO-CUCHILLA HUALA 24,424572627,PZ,144.84
CLAVO CAJ PULIDO 17- 75 x 30 KG,450812129,PZ,145.32
TENDEDERO PIE PLEG 9 V ALAMB C/ALAS,450813166,PZ,147.39
CANDADO 606 50MM JGO 12 PZS MAESTRO,451305640,PZ,147.44
PITON S/TOPE CERRADO P/TACO 12 x 20,450813378,PZ,147.98
SOGA TRENZ P/MOTOR EXPL 4.00 MM,424563372,PZ,149.74
CABO P/MARTILLO RECTO 0.25 MT,450901250,PZ,150
DISCO AA GOLD    6 PERF 154  G.360,450814548,PZ,150.7
CORREA SECCION A N.34,450814305,PZ,151.4
GANCHO CONTRA VIENTO 20 -  80 x 50,450900639,PZ,151.95
TEJ ROMBO ACINDAR 150-76-14.5-10 ML,451305273,PZ,152.19
CORTAVIDRIO T/JOBO CABO MADERA,450811913,PZ,153.8
MECHA EZETA COLA CONICA 55.00 MM,450303094,RL,154.14
PITON C/TOPE ABIERTO BCE 21-70 x 50,424561901,PZ,154.26
TELA MOSQ ALUM UNIV 0.61 x 30.0 MT,450806020,PZ,155.43
MECHA EZETA COLA CONICA 26.75 MM,450802593,PZ,156.26
MACHO URANGA A/ALEADO NPT 3/4 x 14,422000826,CJ,157.04
CARCIMA 1019 PALITA TRANSPLANTADORA,450801861,PZ,158.39
CLAVO C/CHATA  7-16,450817001,PZ,159.23
SELLA ROSCAS DUKE  25 GR,450826251,PZ,160
ANAFE 1 HORN ENLOZ C/ROB GAS ENV,450826252,PZ,160
ARANDELA FICHA BRONCEADA  8.0 MM,451102416,PZ,160
ARANDELA FICHA BRONCEADA  8.5 MM,451102417,PZ,160
MECHA NEIKE WIDIA CORTA  4 MM,450303103,RL,160.31
MECHA EZETA COLA CONICA 12.00 MM,450813128,PZ,160.6
MECHA EZETA COLA CONICA 58.00 MM,450303224,RL,161.71
GARRAFAS 1 KG,424560572,PZ,161.74
BIS T/MUNICION C/AGUJ CINC  75x75,424582510,PQ,162.25
ABRAZ A/INOXIDABLE 5504  9 - 13 MM,450801836,PZ,162.95
NIVEL EVEL ALUMINIO  30 CM,450814557,PZ,163.28
GANCHO CONTRA VIENTO 21 -  90 x 25,450900253,PZ,163.45
REGLA EVEL METALICA  50 CM,424590242,PZ,163.56
MECHA EZETA COLA CONICA 39.00 MM,450813562,PZ,163.59
CORTAFRIO GHERARDI HEXAG 18-21 200,450801565,PZ,164.69
POLIET ECO 3 x 100 x 100 NEGRO,450810661,PZ,164.94
MECHA EZETA COLA CONICA 48.00 MM,450818794,PZ,165.36
MECHA EZETA CILIND TITANIO  3.25 MM,450303212,RL,165.64
MECHA EZETA COLA CONICA 52.00 MM,450303225,RL,165.64
TENAZA GHERARDI ARMAD N. 9 ME CORTE,424595649,PZ,165.89
CADENA P/PERRO N. 9 LARGO 1.40 MT,451301275,PZ,166.08
MECHA EZETA COLA CONICA 46.75 MM,450813693,PZ,166.4
MACHO URANGA A/ALEADO NPT 1/4 x 18,422000810,PZ,166.92
MECHA NEIKE WIDIA CORTA  5 MM,450303097,RL,167.15
RIEL DOBLE BLANCO 0.50 MT,450805613,PZ,167.46
HORM ALLEMANDI DUAL TARRO  12x250GR,451305365,PZ,168.15
CABLE ACERO 13.0 MM 6 x 19+1,450814627,PZ,168.91
MECHA EZETA COLA CONICA 51.00 MM,450303223,RL,169.83
BANDA AA TELA  50x478 O/A MET G. 40,424595621,PZ,170.12
BANDA AA TELA  50x478 O/A MET G. 50,424595622,PZ,170.12
BANDA AA TELA  50x478 O/A MET G. 60,424595623,PZ,170.12
MECHA EZETA CILINDRICA A/R  2.25 MM,451301269,PZ,170.2
MECHA EZETA COLA CONICA 27.25 MM,450801128,PZ,170.47
MECHA EZETA COLA CONICA 57.00 MM,450303095,RL,170.55
